iter	MultiClass
218	0.8022689941
219	0.8016663389
220	0.8011792432
221	0.8004891434
222	0.8000446064
223	0.7993899462
224	0.7988522994
225	0.7982871356
226	0.7980244503
227	0.7973727881
228	0.7968879642
229	0.7963172794
230	0.7958831335
231	0.795342983
232	0.794691136
233	0.793900001
234	0.79340681
235	0.7928792846
236	0.7923504767
237	0.7918251447
238	0.7914176862
239	0.7908801999
240	0.7902720119
241	0.7897957403
242	0.7893929928
243	0.7889125137
244	0.7885546026
245	0.7879760711
246	0.7874476147
247	0.7868681859
248	0.7861579478
249	0.7856240352
250	0.7852539185
251	0.784965195
252	0.784298017
253	0.7838497905
254	0.7834487875
255	0.7830416461
256	0.7826547432
257	0.7821467056
258	0.7816268252
259	0.7811450387
260	0.780539223
261	0.7801405722
262	0.7797638014
263	0.7792916693
264	0.7785617519
265	0.7780905822
266	0.7775181788
267	0.7768557468
268	0.7764297501
269	0.775825808
270	0.7752871347
271	0.7747330401
272	0.7740581054
273	0.7736131135
274	0.7731127744
275	0.7726363517
276	0.7722255357
277	0.7717740477
278	0.7715461486
279	0.7710294657
280	0.7705135621
281	0.7701323243
282	0.7695644028
283	0.7692001568
284	0.7687437356
285	0.7683120981
286	0.7678264887
287	0.7676783595
288	0.7671722954
289	0.7668304412
290	0.7664341668
291	0.7660703844
292	0.7657266173
293	0.7653004461
294	0.7648695961
295	0.7644902761
296	0.7641746903
297	0.763787832
298	0.7634560065
299	0.7630100237
300	0.7626185688
301	0.7621364575
302	0.7617295547
303	0.7613005937
304	0.7608018718
305	0.7602331283
306	0.7598760273
307	0.7594519847
308	0.7589447661
309	0.7586338372
310	0.7583632989
311	0.7578817198
312	0.7573567502
313	0.756927
314	0.7566404353
315	0.7562080088
316	0.7557066896
317	0.7552590102
318	0.7547151545
319	0.7541479977
320	0.753857009
321	0.7532279992
322	0.7527319358
323	0.7523708116
324	0.7518205894
325	0.751525318
326	0.7511538082
327	0.7507258416
328	0.7505271809
329	0.7501132339
330	0.7495512182
331	0.7491050665
332	0.7487023233
333	0.7483011025
334	0.7479314887
335	0.7476267027
336	0.7471888214
337	0.7468907198
338	0.746485501
339	0.7459263619
340	0.7454570651
341	0.7450791385
342	0.7446756837
343	0.7443287504
344	0.7440186326
345	0.7435169927
346	0.7430461555
347	0.7425070305
348	0.7421547784
349	0.7417269455
350	0.7413550271
351	0.7410501923
352	0.7406943571
353	0.7401860022
354	0.7397582822
355	0.7394702507
356	0.7390625588
357	0.7386101053
358	0.7383550157
359	0.7379359239
360	0.7376180679
361	0.7369880932
362	0.7367183303
363	0.7363509359
364	0.7360406838
365	0.7356298822
366	0.7350779327
367	0.7345848859
368	0.7342085
369	0.7336960939
370	0.7331322822
371	0.7326954891
372	0.7323434209
373	0.7319179615
374	0.7315112203
375	0.7311680196
376	0.7308446004
377	0.7304803392
378	0.7300323448
379	0.7297214705
380	0.7291489986
381	0.728735107
382	0.728091167
383	0.7276383508
384	0.7272729183
385	0.7268621083
386	0.7264333956
387	0.7260395145
388	0.7257977554
389	0.7255092404
390	0.7248299906
391	0.7244482185
392	0.7240887829
393	0.7236279255
394	0.7230899637
395	0.7225878988
396	0.7222680949
397	0.7218533488
398	0.7212709533
399	0.7208509273
400	0.7203578609
401	0.7199740898
402	0.7196985765
403	0.7191860376
404	0.7188212256
405	0.7183941602
406	0.7181163009
407	0.717672506
408	0.7173237113
409	0.7169419592
410	0.7163453546
411	0.7160741706
412	0.7155778172
413	0.7152660926
414	0.7148552446
415	0.7143532552
416	0.7140010219
417	0.7137072476
418	0.7134216632
419	0.7130566044
420	0.7128492021
421	0.7123587644
422	0.7119691773
423	0.7115444731
424	0.7111846335
425	0.7108047707
426	0.7103999583
427	0.7101387927
428	0.7098747563
429	0.7093462659
430	0.7089564424
431	0.7085918086
432	0.7082221989
433	0.707845148
434	0.7074352688
435	0.7069851911
436	0.7066408202
437	0.7061860993
438	0.7057609638
439	0.7052960336
440	0.7048914942
441	0.7045035982
442	0.7042155771
443	0.7037026808
444	0.7034032231
445	0.7030530595
446	0.7025388863
447	0.7022578733
448	0.7020058112
449	0.7016121866
450	0.7012172381
451	0.7006915643
452	0.70038651
453	0.7000182207
454	0.6997420556
455	0.6993489101
456	0.6987376557
457	0.6982669021
458	0.6980052841
459	0.6976268058
460	0.697202872
461	0.6968829829
462	0.6965972626
463	0.6962878113
464	0.6958628408
465	0.6955753874
466	0.6951916554
467	0.694781271
468	0.6943498103
469	0.6941199733
470	0.6939083828
471	0.6936786074
472	0.6932414948
473	0.692919381
474	0.6926835537
475	0.6921656389
476	0.6918346057
477	0.6915287454
478	0.6911140828
479	0.6904671887
480	0.690024245
481	0.68960478
482	0.6891441313
483	0.6887726353
484	0.6884431284
485	0.6879436331
486	0.6872728666
487	0.6867765559
488	0.686525917
489	0.6862004578
490	0.6859420122
491	0.6855699635
492	0.6849910766
493	0.6846850903
494	0.6843754945
495	0.6839171654
496	0.6835990548
497	0.6832382975
498	0.6829272497
499	0.6825212817
500	0.6820302444
501	0.6817165308
502	0.6814634216
503	0.6811167751
504	0.6807383775
505	0.6803196099
506	0.6801374273
507	0.6797758851
508	0.6791624254
509	0.6788225067
510	0.6785014226
511	0.6780473344
512	0.6776742364
513	0.677383499
514	0.6770278233
515	0.6767134716
516	0.67633612
517	0.6760316208
518	0.675661597
519	0.675479599
520	0.6749573162
521	0.6746597068
522	0.6743375634
523	0.6740300859
524	0.6736407601
525	0.673206936
526	0.672875991
527	0.6724734267
528	0.6720874952
529	0.6717193338
530	0.6713911018
531	0.6709875794
532	0.6706654245
533	0.6702527394
534	0.6699306506
535	0.6696561674
536	0.6693824332
537	0.6688184027
538	0.6684456704
539	0.6680878344
540	0.6678928306
541	0.667518528
542	0.6672432509
543	0.6668957225
544	0.6664329531
545	0.6660577103
546	0.6656364847
547	0.6653422392
548	0.6650000864
549	0.6646512887
550	0.6642116487
551	0.6636648115
552	0.6633588953
553	0.6629735725
554	0.6626459673
555	0.6623078104
556	0.6618986489
557	0.6615084959
558	0.6611542882
559	0.6608408686
560	0.6605408581
561	0.6602260116
562	0.6598532843
563	0.6596397408
564	0.6593666458
565	0.6589184984
566	0.6585941855
567	0.6583164272
568	0.6579676921
569	0.6576516018
570	0.6572541731
571	0.6569838866
572	0.6567656858
573	0.6563332241
574	0.6560455039
575	0.6556857821
576	0.6554021669
577	0.655208535
578	0.6549077815
579	0.6544350455
580	0.65415298
581	0.6538402947
582	0.6534232726
583	0.653129973
584	0.6526948225
585	0.6523811923
586	0.6521679647
587	0.6519438062
588	0.6516771157
589	0.6515372369
590	0.6512643155
591	0.6510438639
592	0.6507871693
593	0.6506397345
594	0.6502570103
595	0.6498841736
596	0.6496115417
597	0.6491817792
598	0.6488125895
599	0.6485903311
600	0.6482595229
601	0.6477750267
602	0.6475540083
603	0.6473413758
604	0.6470992671
605	0.6467964552
606	0.6465093316
607	0.6461632115
608	0.6458504696
609	0.6455192671
610	0.6451422321
611	0.6448599017
612	0.6445743893
613	0.6442776556
614	0.6440787888
615	0.6437960987
616	0.6434126946
617	0.6431510723
618	0.6429593864
619	0.6427454379
620	0.6424004825
621	0.6421068512
622	0.6416723604
623	0.6413794921
624	0.6411170838
625	0.64090497
626	0.6405237963
627	0.6401185448
628	0.6399710088
629	0.6395851409
630	0.639313835
631	0.6388472008
632	0.6387128116
633	0.6384813369
634	0.6382356052
635	0.6377591648
636	0.6374519796
637	0.637227926
638	0.6369212375
639	0.6366199693
640	0.6361942889
641	0.6359948252
642	0.6357218206
643	0.6355380894
644	0.6351833643
645	0.6348990559
646	0.6346273784
647	0.6343854893
648	0.6340829728
649	0.6337344587
650	0.6334009787
651	0.6330429371
652	0.6327335996
653	0.6324159253
654	0.6320351761
655	0.6318025142
656	0.631436383
657	0.6311366006
658	0.6309136777
659	0.6306990237
660	0.6304661812
661	0.6301993856
662	0.6299132773
663	0.6295401729
664	0.6292701515
665	0.6290172497
666	0.6287912704
667	0.6284894998
668	0.6282629205
669	0.6279742218
670	0.6277715174
671	0.627536624
672	0.6272556514
673	0.6269690978
674	0.6267500261
675	0.6263596047
676	0.6261445029
677	0.6258592857
678	0.6255852755
679	0.625231701
680	0.6249937005
681	0.6246961924
682	0.624458753
683	0.624174711
684	0.6238837051
685	0.6236522608
686	0.6234428454
687	0.6231542399
688	0.6227761616
689	0.6224130036
690	0.6221483707
691	0.6218669931
692	0.6215891431
693	0.6214004662
694	0.621016882
695	0.6208684588
696	0.6205988573
697	0.6204144741
698	0.6200877098
699	0.6197406612
700	0.619437882
701	0.6190322294
702	0.6187845221
703	0.6183024471
704	0.6181113117
705	0.617710602
706	0.6172340129
707	0.6168788985
708	0.616692442
709	0.6162983928
710	0.6160517641
711	0.6156835922
712	0.6153955292
713	0.6150678157
714	0.6147627563
715	0.6144549233
716	0.6141633848
717	0.613784632
718	0.6136079305
719	0.6133219921
720	0.6130253611
721	0.612719118
722	0.612520398
723	0.6122110478
724	0.6119980376
725	0.6118284497
726	0.6116410293
727	0.6112532143
728	0.6109512215
729	0.6107134715
730	0.6104990824
731	0.6102864574
732	0.6100541427
733	0.6097761214
734	0.6095467164
735	0.6092394413
736	0.6089069168
737	0.6086103881
738	0.6084050516
739	0.608047265
740	0.607804309
741	0.6075520124
742	0.6072690001
743	0.6070016465
744	0.6067639736
745	0.6063242969
746	0.6060480242
747	0.605623233
748	0.6053555325
749	0.6050858958
750	0.6048941214
751	0.6046347324
752	0.604189888
753	0.6038683531
754	0.6034598349
755	0.6031749968
756	0.602967708
757	0.6027390359
758	0.6024462639
759	0.6020826192
760	0.6018518162
761	0.6016052601
762	0.6013768932
763	0.6011192686
764	0.6008388985
765	0.6005928407
766	0.6003053026
767	0.6001276649
768	0.5998810216
769	0.5994875973
770	0.5992917615
771	0.5990196041
772	0.5986895799
773	0.598501239
774	0.5982041816
775	0.5979286134
776	0.5976388325
777	0.5973559815
778	0.5970106133
779	0.5967350889
780	0.5964703795
781	0.5962213328
782	0.5959214801
783	0.5956494955
784	0.5953188224
785	0.5950041714
786	0.5947484238
787	0.5944772478
788	0.5942608514
789	0.5939530722
790	0.5936799019
791	0.5934390945
792	0.5931827323
793	0.5929973283
794	0.5927456028
795	0.5924998779
796	0.5922856476
797	0.5920313051
798	0.5917221524
799	0.5915732339
800	0.5912731877
801	0.5910579515
802	0.5907534338
803	0.5904265829
804	0.5900291626
805	0.5897856971
806	0.5895355854
807	0.5892333358
808	0.58893517
809	0.58864859
810	0.5883103607
811	0.5880882707
812	0.5879130359
813	0.5875660695
814	0.5873816483
815	0.5871516489
816	0.5868262673
817	0.5866256087
818	0.5864855125
819	0.5862334753
820	0.5859387881
821	0.5857174992
822	0.5855685518
823	0.5852354163
824	0.5849223961
825	0.5846683908
826	0.5844492115
827	0.5841525071
828	0.5837987438
829	0.583581564
830	0.5833535224
831	0.5830330841
832	0.5827195565
833	0.5824438329
834	0.5822634586
835	0.5819387917
836	0.581664951
837	0.581316391
838	0.5809833701
839	0.5807488984
840	0.5805640467
841	0.5803451505
842	0.5799942631
843	0.5796303291
844	0.5793859366
845	0.579070329
846	0.5788921801
847	0.5786484841
848	0.5783847213
849	0.5779848566
850	0.5777398765
851	0.5774638575
852	0.5772726158
853	0.5770650189
854	0.5767146764
855	0.5764831666
856	0.5762933757
857	0.5759471061
858	0.5757084073
859	0.5754413424
860	0.5751584519
861	0.5749193516
862	0.5746948225
863	0.5744048482
864	0.5740793193
865	0.5738326542
866	0.5736836281
867	0.5734145849
868	0.5731452831
869	0.5729411376
870	0.5727077236
871	0.5724675318
872	0.5721816684
873	0.5719175773
874	0.5715836364
875	0.5712521542
876	0.5710138741
877	0.5709239402
878	0.5706757431
879	0.5704131089
880	0.5700590498
881	0.5699588041
882	0.5696977286
883	0.5693299988
884	0.5691541935
885	0.5689070141
886	0.5686247377
887	0.5683168236
888	0.5678833767
889	0.567636813
890	0.5674819877
891	0.5671575104
892	0.5669703775
893	0.5665778599
894	0.5663418497
895	0.5660938451
896	0.5658404314
897	0.5656199862
898	0.5652828988
899	0.565029997
900	0.5648422585
901	0.5646970971
902	0.5644525
903	0.5643384227
904	0.5640113858
905	0.563888658
906	0.5636208676
907	0.5632936067
908	0.5630611144
909	0.5628911622
910	0.562681226
911	0.5624404718
912	0.5622202962
913	0.5619700448
914	0.5617823448
915	0.5614884534
916	0.5612208769
917	0.561015815
918	0.5608066285
919	0.5606502167
920	0.5605229271
921	0.5602214395
922	0.5599822121
923	0.5595862172
924	0.5593634147
925	0.55908474
926	0.5589678314
927	0.5586543096
928	0.5585177235
929	0.5582753863
930	0.5580273165
931	0.5576876881
932	0.5574703008
933	0.5571934153
934	0.556900733
935	0.5565560385
936	0.5563287282
937	0.5560170238
938	0.5557100502
939	0.5554959685
940	0.55530154
941	0.5550764525
942	0.5548832048
943	0.5546355534
944	0.55438687
945	0.554076715
946	0.5537239596
947	0.5534097989
948	0.5532024204
949	0.5529455786
950	0.5527063865
951	0.5525721923
952	0.5523926367
953	0.55220397
954	0.5520055293
955	0.5516956371
956	0.5514806315
957	0.5512339084
958	0.5510522199
959	0.5508285606
960	0.5507096528
961	0.5505413104
962	0.550446098
963	0.5501949363
964	0.5499169463
965	0.5497182141
966	0.5494235154
967	0.549279755
968	0.5489877313
969	0.5487877514
970	0.5484797945
971	0.5482517572
972	0.5480544828
973	0.5478176695
974	0.54764688
975	0.5473467145
976	0.5471441322
977	0.5467854878
978	0.5466642592
979	0.5463802109
980	0.5461308926
981	0.5458850636
982	0.5455353639
983	0.5453013481
984	0.5450527207
985	0.5449633124
986	0.5447653136
987	0.5445244733
988	0.5442928885
989	0.5440100573
990	0.5438958452
991	0.5436583976
992	0.5433887004
993	0.54308973
994	0.5428530846
995	0.5425255388
996	0.5424669144
997	0.5422353005
998	0.5420364764
999	0.5417646078
